"","X","TweetID","ScreenName","Text","CreatedTime","Favorited","FavoritesCount","IsRetweet","RetweetCount","Retweeted","ReplyToSN","ReplyToSID","ReplyToUID","Truncated","StatusSource","Longitude","Latitude","newtime"
"352",352,662037942161039360,"a_silberberg","Watch Mayor-elect Allison Silberberg discuss the Alexandria election on the @nbcwashington evening news or online at https://t.co/hufy4Hb8iB","2015-11-04 22:45:20",0,2,0,0,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"224520"
"353",353,662034356270145536,"a_silberberg","Statement from #AlexandriaVA Mayor-elect Allison Silberberg: https://t.co/GYN4Aw8cU6","2015-11-04 22:31:05",0,3,0,4,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"223105"
"354",354,662012083668697088,"a_silberberg","RT @MichaelLeePope: Allison Silberberg declares victory in #AlexandriaVA race for mayor https://t.co/473U1kF547","2015-11-04 21:02:34",0,0,1,12,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"210234"
"355",355,662011467680587776,"a_silberberg","RT @abc7Richard: ""Deeply honored that the citizens of Alexandria have spoken overwhelmingly,"" Silberberg says.","2015-11-04 21:00:08",0,0,1,3,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"210008"
"356",356,661996222954213376,"a_silberberg","RT @AU_SIS: SIS alumna @A_Silberberg has been elected the mayor of Alexandria! Read more on SIS News: https://t.co/IoVHdzGx7J #SISalumni @A…","2015-11-04 19:59:33",0,0,1,3,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"195933"
"357",357,661995887103778816,"a_silberberg","RT @AlexandriaCARES: Congrats to our mayor elect! @A_Silberberg","2015-11-04 19:58:13",0,0,1,1,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"195813"
"358",358,661960573379309568,"a_silberberg","RT @kojoshow: ""City Hall is not separate from the people. City Hall is the people,"" @A_Silberberg. Listen: https://t.co/W7UBiEg2tl","2015-11-04 17:37:53",0,0,1,2,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"173753"
"359",359,661953770696372224,"a_silberberg","Thank you! https://t.co/MAgsZRqO3Z","2015-11-04 17:10:52",0,1,0,0,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"171052"
"360",360,661953152460132352,"a_silberberg","RT @kojoshow: Live: A post-election analysis with @A_Silberberg, @jtuckermartin &amp; @kjamundson! https://t.co/W7UBiExDkT","2015-11-04 17:08:24",0,0,1,3,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"170824"
"361",361,661950531653496832,"a_silberberg","Listen to Mayor-elect Allison Silberberg on the @kojoshow on @wamu885news shortly at Noon or online at https://t.co/P3vfpTXMEu.","2015-11-04 16:57:59",0,1,0,3,0,NA,NA,NA,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,"165759"
